Post link,City,Neighborhood,Size,Number of rooms,Floor number,Taxes,Price,Room mates,Furniture,Elevator,Air conditioner,Parking,Balcony,Bars,Shelter,Storeroom,Renovated,Boiler,Pets allowed
685019,חיפה,נוה שאנן,80,3,3,1150,3400,0,1,0,1,0,0,0,0,0,1,1,0
685018,חיפה,נווה שאנן,35,1,1,280,1950,0,1,0,1,0,0,1,0,0,1,1,0
685017,פוריה כפר עבודה,החרוב,90,3,0,0,3800,0,0,0,1,1,1,0,0,0,1,0,0
685016,פוריה כפר עבודה,החרוב,90,3,0,0,3800,0,0,0,1,1,1,0,0,0,1,0,0
685015,תל אביב יפו,גימל החדשה,86,3,1,1180,11000,0,1,1,1,1,1,0,1,0,1,0,1
685013,קרית מוצקין,מוצקין הותיקה,100,35,1,0,3150,0,1,0,1,0,1,1,0,1,1,0,0
685012,ירושלים,פסגת זאב,85,3,2,0,3700,0,0,0,1,1,0,0,0,0,0,1,0
685011,חיפה,רמת הדר,120,4,1,800,3700,1,1,1,1,1,0,0,0,0,1,0,0
685009,רמת גן,מרכז רמת גן,85,3,1,800,5850,0,0,0,1,1,1,0,0,0,0,1,0
685008,חיפה,קריית אליעזר,58,3,2,580,2300,1,1,0,1,1,0,0,0,0,0,1,1
685007,אורה,תאנה,60,2,0,0,5400,0,0,0,1,1,1,1,1,0,1,0,0
685006,בת ים,רמת הנשיא,60,3,1,620,3700,0,0,0,1,1,1,0,0,0,0,1,1
685005,באר שבע,יא,75,3,4,552,2400,0,1,0,1,1,0,0,0,0,0,0,0
685003,טירת כרמל ,"אצ""ל ",65,3,4,0,2500,0,1,0,1,0,0,1,0,0,1,1,0
685002,טירת כרמל ,"אצ""ל ",65,3,4,0,2500,0,1,0,1,0,0,1,0,0,1,1,0
685001,קרית ביאליק,סביניה,80,3,0,0,2900,0,0,0,1,1,0,0,0,1,1,1,0
685000,אור יהודה,קרית גיורא,130,5,4,0,4400,1,0,0,1,1,0,0,0,0,1,0,0
684998,עפולה,רובע יזרעאל,67,35,0,0,2300,1,0,0,1,1,1,0,0,0,1,1,1
684995,ראשון לציון,רמז,50,3,3,450,4400,1,1,0,1,0,0,0,0,0,1,0,1
684994,ראשון לציון,רמז,50,3,3,450,4400,1,1,0,1,0,0,0,0,0,1,0,1
684993,נתניה,מרכז העיר,60,2,1,0,3000,0,0,1,1,1,0,1,0,0,1,0,0
684992,נתניה,מרכז העיר,60,2,1,0,3000,0,0,1,1,1,0,1,0,0,1,0,0
684991,נתניה,מרכז העיר,60,2,1,0,3000,0,0,1,1,1,0,1,0,0,1,0,0
684990,באר שבע,ה,75,3,1,0,3100,0,1,0,1,1,0,0,0,1,1,1,1
684988,ירושלים,רמת מוצא,35,2,0,0,3200,0,0,0,1,1,0,1,1,0,0,0,0
684986,ראשון לציון,קרית כרמים,110,4,5,1100,6200,0,1,1,1,1,1,0,1,0,0,1,0
684985,קרית מוצקין,מוצקין הותיקה,60,3,4,550,2300,0,0,0,1,0,0,1,0,0,1,1,0
684983,רמת גן,שיכון ותיקים,45,15,1,0,3900,0,0,0,1,1,1,0,0,0,0,0,0
684982,רמת גן,שיכון ותיקים,45,15,1,0,4500,0,0,0,1,0,1,0,0,0,0,0,0
684981,שדר,נאות הדקל,20,1,0,0,1500,0,1,0,1,0,0,1,0,0,1,0,0
684977,תל אביב יפו,תל כביר,75,35,4,850,3850,0,1,0,1,1,0,1,0,0,1,1,1
684973,לוד,גני אביב,78,3,1,0,3400,0,0,1,1,1,0,1,1,0,1,1,0
684970,מודיעין מכבים רעות,כרמים,70,35,3,880,4600,0,1,0,1,1,1,0,1,0,1,1,0
684969,מודיעין מכבים רעות,כרמים,70,35,3,880,4600,0,1,0,1,1,1,0,1,0,1,1,0
684968,מודיעין מכבים רעות,כרמים,70,35,3,880,4600,0,1,0,1,1,1,0,1,0,1,1,0
684965,רמלה,אשכול,74,3,2,500,3800,0,1,0,1,1,0,1,0,0,1,1,0
684964,אור יהודה,בית בפארק,159,4,1,1300,2600,1,1,1,1,1,1,0,1,1,1,1,1
684963,באר שבע,שכונה ד',69,35,2,0,2250,0,1,0,1,1,0,0,0,0,1,1,0
684962,ירושלים,קטמונים,40,2,2,0,1500,1,1,0,1,0,1,1,0,1,1,1,0
684961,חולון,אגרובנק,70,3,2,675,4500,1,0,0,1,0,0,0,0,0,0,1,0
684960,חולון,אגרובנק,70,3,2,675,4500,1,0,0,1,0,0,0,0,0,0,1,0
684958,יהוד מונוסון,מכבי,65,3,4,520,3800,1,1,0,1,1,0,0,0,0,0,1,1
684957,חיפה,נווה שאנן,1,35,1,0,3000,1,1,0,1,1,1,1,0,0,1,1,0
684956,יהוד מונוסון,מכבי,65,3,0,520,3800,1,1,0,1,1,0,0,0,0,0,1,1
684954,קרית טבעון,ותיקה,150,55,0,1700,7500,0,1,0,1,1,1,0,0,0,0,1,0
684953,פתח תקווה,מחנה יהודה,90,35,3,890,5500,0,1,1,1,1,1,0,1,0,1,1,0
